Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
906023;Hardy Noces d'Argent;Hardy;0,2 l;34.90;174.5;;432;konjakit;XO-Konjakit;;;Ranska;Cognac;;AC Cognac Fine Champagne;;;Mahonginruskea, täyteläinen, iäkäs, pehmeä, rusinainen, hunajainen, pähkinäinen;pullo;luonnonkorkki;40.0;;5;;;;230.0;tilausvalikoima;3,10405E+12
926137;Hardy Noces d'Argent Fine Champagne;Hardy Cognac;0,7 l;145.99;208.56;;432;konjakit;XO-Konjakit;;;Ranska;Cognac;;AC Petite & Grande Champagne;;;Mahonginruskea, täyteläinen, iäkäs, pehmeä, kuivahedelmäinen, pähkinäinen, vaniljainen;pullo;luonnonkorkki;40.0;;5;;;;230.0;tilausvalikoima;3,10405E+12
903537;Hardy Organic VSOP;Hardy Cognac;0,7 l;54.40;77.71;;432;konjakit;VSOP-Konjakit;luomu;;Ranska;Cognac;;AOP Fine Cognac;;;Punaruskea, keskitäyteläinen, nuorehko, lämmin, pähkinäinen, hedelmäinen, vaniljainen;pullo;luonnonkorkki;40.0;;11;;;;230.0;tilausvalikoima;3,10405E+12
930007;Hardy Rare Fine Champagne XO;Hardy Cognac;0,7 l;89.98;128.54;;432;konjakit;XO-Konjakit;;;Ranska;Cognac;;AC Cognac Fine Champagne;;;Meripihkanruskea, täyteläinen, iäkäs, lämmin, aprikoosinen, kuivahedelmäinen, suklainen, setrinen, hennon kukkainen;pullo;luonnonkorkki;40.0;;11;;;;230.0;vakiovalikoima;3,10405E+12
122576;Hardy VSOP muovipullo;Hardy Cognac;0,5 l;26.99;53.58;;432;konjakit;VSOP-Konjakit;;;Ranska;Cognac;;AC Cognac Fine Champagne;;;Meripihkankeltainen, keskitäyteläinen, nuorehko, lämmin, aprikoosinen, kevyen kaakaoinen, hennon yrttinen;muovipullo;metallinen kierrekapseli;40.0;;11;;;;230.0;vakiovalikoima;3,10405E+12
948468;Hennessy Paradis;Hennessy;0,7 l;1159.99;1657.13;;432;konjakit;XO-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Meripihkanruskea, täyteläinen, iäkäs, lämmin, hunajainen, hedelmäinen, mausteinen;pullo;luonnonkorkki;40.0;;;;;;220.0;tilausvalikoima;3,24599E+12
892;Hennessy VSOP;Hennessy;0,35 l;35.59;101.4;;432;konjakit;VSOP-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Kuparinruskea, täyteläinen, melko iäkäs, lämmin, hedelmäinen, kaakaoinen, kevyen pähkinäinen, mausteinen, tasapainoinen;pullo;luonnonkorkki;40.0;;10;;;;230.0;vakiovalikoima;3,24599E+12
891;Hennessy VSOP;Hennessy;0,7 l;63.98;91.26;;432;konjakit;VSOP-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Kuparinruskea, täyteläinen, melko iäkäs, lämmin, hedelmäinen, kaakaoinen, kevyen pähkinäinen, mausteinen, tasapainoinen;pullo;luonnonkorkki;40.0;;10;;;;230.0;vakiovalikoima;3,24599E+12
901;Hennessy Very Special;Hennessy;0,7 l;48.98;69.83;;432;konjakit;VS-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Kuparinruskea, keskitäyteläinen, nuorehko, lämmin, hedelmäinen, tummasuklainen, tamminen, runsas;pullo;luonnonkorkki;40.0;;9;;;;230.0;vakiovalikoima;3,24599E+12
902;Hennessy Very Special;Hennessy;0,35 l;26.49;75.4;;432;konjakit;VS-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Kuparinruskea, keskitäyteläinen, nuorehko, lämmin, hedelmäinen, tummasuklainen, tamminen, runsas;pullo;luonnonkorkki;40.0;;9;;;;230.0;vakiovalikoima;3,24599E+12
